Find total 78215 solutions out of 160000 experiments: only situation1 59951, only situation2 15920 and both situations 2344
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.43e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.43e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.43e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:1.43e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:1.43e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:1.43e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:2.95 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:1.43e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:1.57e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.57e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.57e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.57e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:1.57e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:1.57e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:1.57e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:3.25 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:1.57e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:1.72e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.72e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.72e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.72e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:1.72e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:1.72e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:1.72e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:1.72e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:3.54 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:1.72e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:1.86e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:1.86e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:1.86e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:1.86e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:1.86e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:1.86e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:1.86e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:1.86e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:1.86e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:3.84 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:1.86e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.00e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.00e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.00e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.00e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.00e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.00e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.00e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.00e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.00e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.00e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:4.13 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.00e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.14e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.14e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.14e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.14e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.14e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.14e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.14e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.14e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.14e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.14e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.14e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:4.42 arcsec, alpha2:3.84 arcsec, h1:2.71e-05, h2:1.86e-05, h3:2.14e-06, h4:1.86e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.29e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.29e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.29e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.29e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.29e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.29e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.29e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.29e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.29e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.29e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.29e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:3.84 arcsec, h1:2.71e-05, h2:1.86e-05, h3:2.29e-06, h4:1.86e-06
d2:0.10, d3:0.10, alpha1:4.72 arcsec, alpha2:4.13 arcsec, h1:2.71e-05, h2:2.00e-05, h3:2.29e-06, h4:2.00e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.43e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.43e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.43e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.43e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.43e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.43e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.43e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.43e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.43e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.43e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.43e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:3.84 arcsec, h1:2.71e-05, h2:1.86e-05, h3:2.43e-06, h4:1.86e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:4.13 arcsec, h1:2.71e-05, h2:2.00e-05, h3:2.43e-06, h4:2.00e-06
d2:0.10, d3:0.10, alpha1:5.01 arcsec, alpha2:4.42 arcsec, h1:2.71e-05, h2:2.14e-05, h3:2.43e-06, h4:2.14e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.57e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.57e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.57e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.57e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.57e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.57e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.57e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.57e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.57e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.57e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.57e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:3.84 arcsec, h1:2.71e-05, h2:1.86e-05, h3:2.57e-06, h4:1.86e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:4.13 arcsec, h1:2.71e-05, h2:2.00e-05, h3:2.57e-06, h4:2.00e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:4.42 arcsec, h1:2.71e-05, h2:2.14e-05, h3:2.57e-06, h4:2.14e-06
d2:0.10, d3:0.10, alpha1:5.31 arcsec, alpha2:4.72 arcsec, h1:2.71e-05, h2:2.29e-05, h3:2.57e-06, h4:2.29e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:0.60 arcsec, h1:2.71e-05, h2:2.92e-06, h3:2.71e-06, h4:2.92e-07
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:4.34e-06, h3:2.71e-06, h4:4.34e-07
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:5.77e-06, h3:2.71e-06, h4:5.77e-07
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:7.19e-06, h3:2.71e-06, h4:7.19e-07
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:8.62e-06, h3:2.71e-06, h4:8.62e-07
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.00e-05, h3:2.71e-06, h4:1.00e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:1.15e-05, h3:2.71e-06, h4:1.15e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:1.29e-05, h3:2.71e-06, h4:1.29e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:1.43e-05, h3:2.71e-06, h4:1.43e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:3.25 arcsec, h1:2.71e-05, h2:1.57e-05, h3:2.71e-06, h4:1.57e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:3.54 arcsec, h1:2.71e-05, h2:1.72e-05, h3:2.71e-06, h4:1.72e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:3.84 arcsec, h1:2.71e-05, h2:1.86e-05, h3:2.71e-06, h4:1.86e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:4.13 arcsec, h1:2.71e-05, h2:2.00e-05, h3:2.71e-06, h4:2.00e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:4.42 arcsec, h1:2.71e-05, h2:2.14e-05, h3:2.71e-06, h4:2.14e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:4.72 arcsec, h1:2.71e-05, h2:2.29e-05, h3:2.71e-06, h4:2.29e-06
d2:0.10, d3:0.10, alpha1:5.60 arcsec, alpha2:5.01 arcsec, h1:2.71e-05, h2:2.43e-05, h3:2.71e-06, h4:2.43e-06
d2:0.10, d3:0.31, alpha1:1.19 arcsec, alpha2:0.90 arcsec, h1:2.71e-05, h2:8.22e-06, h3:5.77e-07, h4:1.78e-07
d2:0.10, d3:0.31, alpha1:1.48 arcsec, alpha2:1.19 arcsec, h1:2.71e-05, h2:1.06e-05, h3:7.19e-07, h4:3.58e-07
d2:0.10, d3:0.31, alpha1:1.78 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:1.30e-05, h3:8.62e-07, h4:5.37e-07
d2:0.10, d3:0.31, alpha1:2.07 arcsec, alpha2:1.48 arcsec, h1:2.71e-05, h2:1.39e-05, h3:1.00e-06, h4:1.69e-07
d2:0.10, d3:0.31, alpha1:2.07 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:1.54e-05, h3:1.00e-06, h4:7.16e-07
d2:0.10, d3:0.31, alpha1:2.37 arcsec, alpha2:1.78 arcsec, h1:2.71e-05, h2:1.63e-05, h3:1.15e-06, h4:3.48e-07
d2:0.10, d3:0.31, alpha1:2.37 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.78e-05, h3:1.15e-06, h4:8.96e-07
d2:0.10, d3:0.31, alpha1:2.66 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.87e-05, h3:1.29e-06, h4:5.28e-07
d2:0.10, d3:0.31, alpha1:2.66 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:2.01e-05, h3:1.29e-06, h4:1.08e-06
d2:0.10, d3:0.31, alpha1:2.95 arcsec, alpha2:2.07 arcsec, h1:2.71e-05, h2:1.97e-05, h3:1.43e-06, h4:1.60e-07
d2:0.10, d3:0.31, alpha1:2.95 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:2.11e-05, h3:1.43e-06, h4:7.07e-07
d2:0.10, d3:0.31, alpha1:2.95 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:2.25e-05, h3:1.43e-06, h4:1.25e-06
d2:0.10, d3:0.31, alpha1:3.25 arcsec, alpha2:2.37 arcsec, h1:2.71e-05, h2:2.21e-05, h3:1.57e-06, h4:3.39e-07
d2:0.10, d3:0.31, alpha1:3.25 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:2.35e-05, h3:1.57e-06, h4:8.86e-07
d2:0.10, d3:0.31, alpha1:3.54 arcsec, alpha2:2.66 arcsec, h1:2.71e-05, h2:2.44e-05, h3:1.72e-06, h4:5.18e-07
d2:0.10, d3:0.31, alpha1:3.54 arcsec, alpha2:2.95 arcsec, h1:2.71e-05, h2:2.59e-05, h3:1.72e-06, h4:1.07e-06
